Partida,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 05.227.01.335.10 2021,5236.0,GARBIKETA.EUSKALTEGIA,12000.0,12000.0,0.0,943.5,11056.5,943.5,943.5,943.5,0.0,2021,33510,,2,,05
1 05.227.01.342.00 2020,6689.0,GARBIKETA.KIROLDEGIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,34200,,2,,05
1 05.227.01.342.00 2021,5237.0,GARBIKETA.KIROLDEGIA,297000.0,297000.0,0.0,31044.15,265955.85,31044.15,20998.72,20998.72,0.0,2021,34200,,2,,05
1 05.227.01.342.01 2021,5238.0,GARBIKETA.KANPO IGERILEKUAK,25000.0,25000.0,0.0,1919.4,23080.6,1919.4,1919.4,1919.4,0.0,2021,34201,,2,,05
1 05.227.01.920.02 2021,4661.0,GARBITZEKO KONT:UDAL ERAIKINAK,180000.0,180000.0,0.0,11408.36,168591.64,11408.36,11408.36,11408.36,0.0,2021,92002,,2,,05
1 05.227.08.441.10 2021,6151.0,KONTRAT.HIRIBUSA,45000.0,45000.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,2021,44110,,2,,05
1 05.227.97.134.00 2021,4662.0,KONTRATUA:IGOGAILU.MANTEN.,10500.0,10500.0,0.0,2504.37,7995.63,2504.37,2504.37,2504.37,2504.37,2021,13400,,2,,05
1 05.227.98.133.00 2021,4663.0,KONTRATUA.KASKORA SARTZEKO SISTEMA,20000.0,20000.0,0.0,2172.34,17827.66,2172.34,2172.34,2172.34,350.9,2021,13300,,2,,05
1 05.227.98.153.40 2020,6698.0,KONTRAT.KARTOGRAFIA-GIS ZERBITZUA.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,15340,,2,,05
1 05.227.98.153.40 2021,4664.0,KONTRAT.KARTOGRAFIA-GIS ZERBITZUA.,16000.0,16000.0,0.0,23056.55,-7056.55,23056.55,0.0,0.0,0.0,2021,15340,,2,,05
1 05.227.98.311.01 2021,4890.0,KOMUNAK-JAIAK,8000.0,8000.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,2021,31101,,2,,05
1 05.227.99.133.00 2021,4666.0,KONTRATUA:SEMAFOROEN MANTEN.,10200.0,10200.0,0.0,772.46,9427.54,772.46,772.46,772.46,0.0,2021,13300,,2,,05
1 05.227.99.171.00 2021,4667.0,KONTRATUA:PARKEAK-LORATEGIAK,477000.0,477000.0,0.0,397537.53,79462.47,397537.53,0.0,0.0,0.0,2021,17100,,2,,05
