#Partida,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 05.623.02.161.00 2016,4683.0,INSTALAZIOAK: UR HORNIDURA,178000.0,263000.0,0.0,191224.11,71775.89,104772.72,55357.31,55357.31,55357.31,2016,16100,,6,,05
1 05.623.02.161.00 2015,5028.0,UR HORNIDURA-ORIAMENDI DEPOSITOA,0.0,68004.65,0.0,67770.14,234.51,67770.14,2400.0,2400.0,2400.0,2015,16100,,6,,05
1 05.623.02.165.00 2016,4684.0,INSTALAZIOAK: KALEKO ARGIKUNTZA,70000.0,70000.0,0.0,39290.88,30709.12,39290.88,39290.88,39290.88,39290.88,2016,16500,,6,,05
1 05.625.99.162.10 2016,4688.0,AUZOKONPOSTA,30000.0,30000.0,0.0,29817.99,182.01,29817.99,29817.99,29817.99,29817.99,2016,16210,,6,,05
1 05.625.99.162.10 2015,5032.0,KONPOST KOMUNITARIOA EGITEKO MATERIALA,0.0,30589.51,0.0,30000.0,589.51,26380.29,26380.29,26380.29,26380.29,2015,16210,,6,,05
1 09.210.01.153.30 2016,4893.0,HERABAKI-19-ATSEGINDEGI MARGOAK,1500.0,1500.0,0.0,268.02,1231.98,268.02,268.02,268.02,268.02,2016,15330,,2,,09
1 09.211.01.153.30 2016,4894.0,HE-14-KAXKOKO FATXADAK,10000.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,2016,15330,,2,,09
1 09.211.01.323.10 2016,4895.0,HERABAKI-6-HAURRENTZAT GELA,6000.0,6000.0,0.0,6000.0,0.0,4497.14,4497.14,4497.14,4497.14,2016,32310,,2,,09
1 09.220.01.230.02 2016,4896.0,HERABAKI-24-SAHARA MATERIALA,2500.0,2500.0,0.0,2169.68,330.32,2169.68,2169.68,2169.68,2169.68,2016,23002,,2,,09
1 09.227.04.334.00 2016,4897.0,HERABAKI-16-HAURRENTZAT EGITARAUA,8000.0,8000.0,0.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,2016,33400,,2,,09
1 09.601.01.133.00 2016,4898.0,HERABAKI-18-APARKALEKUAK,20000.0,40000.0,0.0,37195.72,2804.28,37195.72,37195.72,37195.72,37195.72,2016,13300,,6,,09
1 09.601.01.134.00 2016,4899.0,HERABAKI-21-8-22-30-13-OINEZKOAK,96051.0,96051.0,0.0,7659.8,88391.2,7659.8,7659.8,7659.8,7659.8,2016,13400,,6,,09
1 09.601.01.153.30 2016,4900.0,HERABAKI-5-EZKIAGA-TILOS-ZOLADURA,230000.0,230000.0,0.0,229999.37,0.63,59789.37,59789.37,59789.37,59789.37,2016,15330,,6,,09
1 09.601.03.153.20 2016,4901.0,HERABAKI-25-SANTABARBARA AUZOAN,8065.0,8065.0,0.0,8099.86,-34.86,8099.86,8099.86,8099.86,8099.86,2016,15320,,6,,09
