Partida,Código interno,Descripción,Año,Pto inicial,Oblig. recon.
1 01.120.01.414.00 2015 (4271),4271,FUN.OINA.ORD:INGURUNEAREN HOBEKUNTZA,2015,10388.0,10388.14
1 01.120.01.432.00 2015 (4272),4272,FUN.OINA.ORD:TURISMOA,2015,16809.0,17486.28
1 01.120.01.912.00 2015 (4841),4841,LAN.KONTR.OINARRIAK:GOBERNU ORGANOAK,2015,0.0,1064.68
1 01.120.01.920.00 2015 (4273),4273,FUN.OINA.ORD:ADMINISTRAZIO OROKORRA,2015,122451.0,113843.21
1 01.120.01.920.10 2015 (4274),4274,FUN.OINA.ORD:PERTSONALA,2015,47299.0,51052.84
1 01.120.01.920.11 2015 (4275),4275,FUN.OINA.ORD:SEGUR.ETA OSASUNA,2015,18839.0,18864.4
1 01.120.01.920.20 2015 (4276),4276,FUN.OINA.ORD:INFORMATIKA,2015,33835.0,28920.08
1 01.120.01.920.30 2015 (4277),4277,FUN.OINA.ORD:ARTXIBOA,2015,32901.0,27427.3
1 01.120.01.929.10 2015 (4278),4278,FUN.OINA.ORD:BAKE EPAITEGIA,2015,3780.0,3725.12
1 01.120.01.931.00 2015 (4279),4279,FUN.OINA.ORD:ADMINIST.EKONOMIKOA,2015,118425.0,124344.46
1 01.120.01.932.00 2015 (4280),4280,FUN.OINA.ORD:BILKETA,2015,79896.0,84867.46
1 01.120.01.933.00 2015 (4281),4281,FUN.OINA.ORD:ONDAREA ETA KONTRATAZIOA,2015,52628.0,47076.09
1 01.121.06.920.10 2015 (4282),4282,LANGILEEN ORDEZKAPENETARAKO POLTSA,2015,140000.0,0.0
1 01.121.99.132.00 2015 (4283),4283,FUN.ORD.OSAG:UDALTZAINGOA,2015,698760.0,742889.5
1 01.121.99.150.00 2015 (4284),4284,FUN.ORD.OSAG:HIRIGINTZA,2015,164953.0,151042.91
1 01.121.99.153.40 2015 (4285),4285,FUN.ORD.OSAG:OBRETAKO LANTALDEA,2015,253869.0,243342.83
1 01.121.99.153.50 2015 (4286),4286,FUN.ORD.OSAG:ZERBITZU PUBLIKOAK,2015,39656.0,45099.29
1 01.121.99.161.00 2015 (4287),4287,FUN.ORD.OSAG:UR HORNIDURA,2015,58876.0,52940.38
1 01.121.99.164.00 2015 (4288),4288,FUN.ORD.OSAG:HILERRIA,2015,18671.0,27593.03
1 01.121.99.165.00 2015 (4289),4289,FUN.ORD.OSAG:KALEKO ARGIKUNTZA,2015,95696.0,109553.32
1 01.121.99.170.00 2015 (4290),4290,FUN.ORD.OSAG:INGURUGIROA,2015,39367.0,39399.66
1 01.121.99.171.00 2015 (4291),4291,FUN.ORD.OSAG:PARKEAK ETA LORATEGIAK,2015,18526.0,19236.7
1 01.121.99.230.02 2015 (4292),4292,FUN.ORD.OSAG:LANKIDETZA,2015,3991.0,488.16
1 01.121.99.231.00 2015 (4293),4293,FUN.ORD.OSAG:BERDINTASUNA,2015,58497.0,55301.86
1 01.121.99.231.03 2015 (4837),4837,FUNTZ. OSAGAR.: GAZTERIA.,2015,0.0,5943.69
1 01.121.99.241.00 2015 (4294),4294,FUNTZ. OSAGAR.: TOKI GARAPENA,2015,38271.0,79093.61
1 01.121.99.323.00 2015 (4295),4295,FUN.ORD.OSAG:IKASTETXEAK,2015,50841.0,97017.68
1 01.121.99.323.30 2015 (4296),4296,FUN.ORD.OSAG:HAUR-ESKOLA,2015,0.0,0.0
1 01.121.99.326.01 2015 (4297),4297,FUN.ORD.OSAG:MUSIKA ESKOLA,2015,243115.0,247079.56
1 01.121.99.330.00 2015 (4298),4298,FUN.ORD.OSAG:KULTURA ZERBITZUA,2015,42171.0,42471.29
1 01.121.99.332.10 2015 (4299),4299,FUN.ORD.OSAG:LIBURUTEGIA,2015,86113.0,100409.04
