Partida,Barruko ,Deskribapena,B. betiko aurrek.,Has.ko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.160.01.929.10 2020,4365.0,GIZARTE SEGUR:BAKE EPITEGIA,3530.0,3530.0,0.0,3681.96,-151.96,3681.96,3681.96,3681.96,3681.96,2020,92910,,1,,01
1 01.160.01.931.00 2020,4366.0,GIZ.SEGURANTZA.ADMINISTRAZIO EKONOMIKOA,85792.0,85792.0,0.0,79817.17,5974.83,79817.17,79817.17,79817.17,79817.17,2020,93100,,1,,01
1 01.160.01.932.00 2020,4367.0,GIZ.SEGURANTZA.BILKETA,33018.0,33018.0,0.0,36191.38,-3173.38,36191.38,36191.38,36191.38,36191.38,2020,93200,,1,,01
1 01.160.01.933.00 2020,4368.0,GIZARTE SEGUR:ONDAREA ETA KONTRATAZIOA,47074.0,47074.0,0.0,54340.42,-7266.42,54340.42,54340.42,54340.42,54340.42,2020,93300,,1,,01
1 01.160.04.132.00 2020,4369.0,ELKARKIDETZA:UDALTZAINGOA,16773.0,16773.0,0.0,13509.48,3263.52,13509.48,13509.48,13509.48,13509.48,2020,13200,,1,,01
1 01.160.04.151.00 2020,4370.0,ELKARKIDETZA:HIRIGINTZA,5558.0,5558.0,0.0,2431.38,3126.62,2431.38,2431.38,2431.38,2431.38,2020,15100,,1,,01
1 01.160.04.153.40 2020,4371.0,ELKARKIDETZA:OBRETAKO LANTALDEA,10829.0,10829.0,0.0,9139.9,1689.1,9139.9,9139.9,9139.9,9139.9,2020,15340,,1,,01
1 01.160.04.161.00 2020,4373.0,ELKARKIDETZA:UR HORNIDURA,3944.0,3944.0,0.0,4756.5,-812.5,4756.5,4756.5,4756.5,4756.5,2020,16100,,1,,01
1 01.160.04.164.00 2020,4374.0,ELKARKIDETZA:HILERRIA,986.0,986.0,0.0,993.86,-7.86,993.86,993.86,993.86,993.86,2020,16400,,1,,01
1 01.160.04.172.20 2020,4376.0,ELKARKIDETZA:INGURUMENA,1761.0,1761.0,0.0,1774.92,-13.92,1774.92,1774.92,1774.92,1774.92,2020,17220,,1,,01
1 01.160.04.231.00 2020,4378.0,ELKARKIDETZA:BERDINTASUNA,4056.0,4056.0,0.0,4087.86,-31.86,4087.86,4087.86,4087.86,4087.86,2020,23100,,1,,01
1 01.160.04.231.03 2020,5610.0,ELKARKIDETZA-GAZTERIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,23103,,1,,01
1 01.160.04.241.00 2020,4379.0,ELKARKIDETZA:TOKI GARAPENA,1438.0,1438.0,0.0,2638.44,-1200.44,2638.44,2638.44,2638.44,2638.44,2020,24100,,1,,01
1 01.160.04.323.10 2020,4380.0,ELKARKIDETZA:IKASTETXEAK,2958.0,2958.0,0.0,1987.72,970.28,1987.72,1987.72,1987.72,1987.72,2020,32310,,1,,01
