#Partida,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.121.99.414.00 2017,4307.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUNE,18742.0,18742.0,0.0,19831.58,-1089.58,19831.58,19831.58,19831.58,19831.58,2017,41400,,1,,01
1 01.121.99.432.00 2017,4308.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TURISMOA,18629.0,18629.0,0.0,18782.39,-153.39,18782.39,18782.39,18782.39,18782.39,2017,43200,,1,,01
1 01.121.99.920.00 2017,4310.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,195462.0,195462.0,0.0,191194.47,4267.53,191194.47,191194.47,191194.47,191194.47,2017,92000,,1,,01
1 01.121.99.920.10 2017,4311.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.PERTSONA,64441.0,64441.0,0.0,69557.88,-5116.88,69557.88,69557.88,69557.88,69557.88,2017,92010,,1,,01
1 01.121.99.920.11 2017,4312.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LAN SEGU,26949.0,26949.0,0.0,26803.43,145.57,26803.43,26803.43,26803.43,26803.43,2017,92011,,1,,01
1 01.121.99.920.20 2017,4313.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INFORMAT,45518.0,45518.0,0.0,45879.94,-361.94,45879.94,45879.94,45879.94,45879.94,2017,92020,,1,,01
1 01.121.99.920.30 2017,4314.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ARTXIBOA,21049.0,21049.0,0.0,21199.06,-150.06,21199.06,21199.06,21199.06,21199.06,2017,92030,,1,,01
1 01.121.99.929.00 2017,5582.0,SOLDATA IGOERA 2017,0.0,78866.0,0.0,0.0,78866.0,0.0,0.0,0.0,0.0,2017,92900,,1,,01
1 01.121.99.929.10 2017,4315.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BAKE EPA,4986.0,4986.0,0.0,5962.74,-976.74,5962.74,5962.74,5962.74,5962.74,2017,92910,,1,,01
1 01.121.99.931.00 2017,4316.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,159560.0,159560.0,0.0,172418.39,-12858.39,172418.39,172418.39,172418.39,172418.39,2017,93100,,1,,01
1 01.121.99.932.00 2017,4317.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BILKETA,87464.0,87464.0,0.0,93859.03,-6395.03,93859.03,93859.03,93859.03,93859.03,2017,93200,,1,,01
1 01.121.99.933.00 2017,4318.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ONDAREA-,47831.0,47831.0,0.0,83324.1,-35493.1,83324.1,83324.1,83324.1,83324.1,2017,93300,,1,,01
1 01.131.01.241.01 2017,4321.0,ALDIBATERAKO.SOLDATA.IKASTAROAK.,27300.0,27300.0,0.0,0.0,27300.0,0.0,0.0,0.0,0.0,2017,24101,,1,,01
1 01.131.01.241.02 2017,4322.0,ALDIBATERAKO.SOLDATA.LANBIDE PROGRAMAK,48500.0,99285.0,0.0,53204.91,46080.09,53204.91,53204.91,53204.91,53204.91,2017,24102,,1,,01
1 01.131.01.324.10 2017,4325.0,ALDIBATERAKO.SOLDATA.HLP PROGRAMAK,86309.0,86309.0,0.0,103011.66,-16702.66,103011.66,103011.66,103011.66,103011.66,2017,32410,,1,,01
1 01.131.01.333.00 2017,4326.0,ALDIBATERAKO.SOLDATA.KULTUR ETXEA,2623.0,2623.0,0.0,2178.97,444.03,2178.97,2178.97,2178.97,2178.97,2017,33300,,1,,01
1 01.160.01.132.00 2017,4329.0,GIZ.SEGURANTZA.UDALTZAINGOA,315809.0,315809.0,0.0,298687.94,17121.06,298687.94,298687.94,298687.94,298687.94,2017,13200,,1,,01
1 01.160.01.151.00 2017,4330.0,GIZ.SEGURANTZA.HIRIGINTZA,78687.0,86907.0,0.0,65290.44,21616.56,65290.44,65290.44,65290.44,65290.44,2017,15100,,1,,01
1 01.160.01.153.40 2017,4331.0,GIZ.SEGURANTZA.OBRETAKO LANTALDEA,138418.0,138418.0,0.0,119638.48,18779.52,119638.48,119638.48,119638.48,119638.48,2017,15340,,1,,01
1 01.160.01.161.00 2017,4333.0,GIZ.SEGURANTZA.UR HORNIDURA,47400.0,47400.0,0.0,41063.03,6336.97,41063.03,41063.03,41063.03,41063.03,2017,16100,,1,,01
1 01.160.01.164.00 2017,4334.0,GIZARTE SEGUR:HILERRIA,8358.0,8358.0,0.0,8272.14,85.86,8272.14,8272.14,8272.14,8272.14,2017,16400,,1,,01
1 01.160.01.165.00 2017,4335.0,GIZ.SEGURANTZA.KALEKO ARGIKUNTZA,21256.0,21256.0,0.0,27650.76,-6394.76,27650.76,27650.76,27650.76,27650.76,2017,16500,,1,,01
1 01.160.01.171.00 2017,4337.0,GIZ.SEGURANTZA.PARKEAK ETA LORATEGIAK,10395.0,10395.0,0.0,2283.9,8111.1,2283.9,2283.9,2283.9,2283.9,2017,17100,,1,,01
1 01.160.01.172.20 2017,4336.0,GIZARTE SEGUR:INGURUGIROA,20264.0,20264.0,0.0,20509.91,-245.91,20509.91,20509.91,20509.91,20509.91,2017,17220,,1,,01
1 01.160.01.231.00 2017,4339.0,GIZARTE SEGUR:BERDINTASUNA,29219.0,29219.0,0.0,21961.55,7257.45,21961.55,21961.55,21961.55,21961.55,2017,23100,,1,,01
1 01.160.01.231.01 2017,4338.0,GIZARTE SEGUR:LANKIDETZA,875.0,875.0,0.0,940.16,-65.16,940.16,940.16,940.16,940.16,2017,23101,,1,,01
1 01.160.01.231.03 2017,4870.0,GIZARTE SEGUR. GAZTERIA,10997.0,10997.0,0.0,7910.8,3086.2,7910.8,7910.8,7910.8,7910.8,2017,23103,,1,,01
1 01.160.01.241.00 2017,4340.0,GIZARTE SEGUR:TOKI GARAPENA,32477.0,32477.0,0.0,38841.38,-6364.38,38841.38,38841.38,38841.38,38841.38,2017,24100,,1,,01
1 01.160.01.241.01 2017,4341.0,GIZARTE SEGURANTZA.ENPLEGU IKASTAROAK,8800.0,8800.0,0.0,0.0,8800.0,0.0,0.0,0.0,0.0,2017,24101,,1,,01
1 01.160.01.241.02 2017,4342.0,GIZARTE SEGURANTZA.LANBIDE PROGRAMAK,16700.0,34139.0,0.0,28141.93,5997.07,28141.93,28141.93,28141.93,28141.93,2017,24102,,1,,01
1 01.160.01.323.10 2017,4344.0,GIZARTE SEGUR:IKASTETXEAK,41584.0,41584.0,0.0,36915.01,4668.99,36915.01,36915.01,36915.01,36915.01,2017,32310,,1,,01
1 01.160.01.324.10 2017,4346.0,GIZARTE SEGUR:HLP programak,28266.0,28266.0,0.0,33156.02,-4890.02,33156.02,33156.02,33156.02,33156.02,2017,32410,,1,,01
1 01.160.01.326.01 2017,4347.0,GIZARTE SEGUR:MUSIKA ESKOLA,134315.0,134315.0,0.0,131844.75,2470.25,131844.75,131844.75,131844.75,131844.75,2017,32601,,1,,01
1 01.160.01.330.00 2017,4348.0,GIZARTE SEGUR:KULTURA ZERBITZUA,20484.0,20484.0,0.0,21521.54,-1037.54,21521.54,21521.54,21521.54,21521.54,2017,33000,,1,,01
1 01.160.01.332.10 2017,4349.0,GIZARTE SEGUR:LIBURUTEGIA,46033.0,46033.0,0.0,33857.81,12175.19,33857.81,33857.81,33857.81,33857.81,2017,33210,,1,,01
1 01.160.01.333.00 2017,4350.0,GIZARTE SEGUR:KULTUR ETXEA,16193.0,16193.0,0.0,175.86,16017.14,175.86,175.86,175.86,175.86,2017,33300,,1,,01
1 01.160.01.335.00 2017,4351.0,GIZARTE SEGUR:EUSKARA ZERBITZUA,36726.0,36726.0,0.0,21817.67,14908.33,21817.67,21817.67,21817.67,21817.67,2017,33500,,1,,01
1 01.160.01.335.10 2017,4352.0,GIZARTE SEGUR:EUSKALTEGIA,84790.0,84790.0,0.0,89694.1,-4904.1,89694.1,89694.1,89694.1,89694.1,2017,33510,,1,,01
1 01.160.01.335.30 2017,4353.0,GIZARTE SEGUR:EUSKARA PLANA,20259.0,20259.0,0.0,17402.51,2856.49,17402.51,17402.51,17402.51,17402.51,2017,33530,,1,,01
1 01.160.01.335.40 2017,4354.0,GIZARTE SEGUR:UDALEKUAK,22500.0,22500.0,0.0,17354.93,5145.07,17354.93,17354.93,17354.93,17354.93,2017,33540,,1,,01
1 01.160.01.342.00 2017,4355.0,GIZ.SEG+OLAZ:KIROLDEGIA,118108.0,118108.0,0.0,122731.37,-4623.37,122731.37,122731.37,122731.37,122731.37,2017,34200,,1,,01
1 01.160.01.342.01 2017,4356.0,GIZARTE SEGUR:IGERILEKUAK,4652.0,4652.0,0.0,558.74,4093.26,558.74,558.74,558.74,558.74,2017,34201,,1,,01
1 01.160.01.414.00 2017,4357.0,GIZARTE SEGUR:INGURUNEAREN HOBEKUNTZA,8494.0,8494.0,0.0,7493.22,1000.78,7493.22,7493.22,7493.22,7493.22,2017,41400,,1,,01
1 01.160.01.432.00 2017,4358.0,GIZARTE SEGUR:TURISMOA,9444.0,9444.0,0.0,9612.6,-168.6,9612.6,9612.6,9612.6,9612.6,2017,43200,,1,,01
1 01.160.01.912.00 2017,4359.0,GIZARTE SEGUR:GOBERNU ORGANOAK,74855.0,74855.0,0.0,78009.11,-3154.11,78009.11,78009.11,78009.11,78009.11,2017,91200,,1,,01
1 01.160.01.920.00 2017,4360.0,GIZ.SEGURANTZA.ADMINISTRAZIO OROKORRA,81356.0,81356.0,0.0,81836.17,-480.17,81836.17,81836.17,81836.17,81836.17,2017,92000,,1,,01
1 01.160.01.920.10 2017,4361.0,GIZ.SEGURANTZA.PERTSONALA,84866.0,84866.0,0.0,31984.1,52881.9,31984.1,31984.1,31984.1,31984.1,2017,92010,,1,,01
1 01.160.01.920.11 2017,4362.0,GIZARTE SEGURANTZA.LAN SEGURTASUNA-OSASU,11297.0,11297.0,0.0,11636.16,-339.16,11636.16,11636.16,11636.16,11636.16,2017,92011,,1,,01
1 01.160.01.920.20 2017,4363.0,GIZARTE SEGUR:INFORMATIKA,20754.0,20754.0,0.0,21191.04,-437.04,21191.04,21191.04,21191.04,21191.04,2017,92020,,1,,01
1 01.160.01.920.30 2017,4364.0,GIZARTE SEGUR:ARTXIBOA,10462.0,10462.0,0.0,10611.03,-149.03,10611.03,10611.03,10611.03,10611.03,2017,92030,,1,,01
1 01.160.01.929.10 2017,4365.0,GIZARTE SEGUR:BAKE EPITEGIA,2520.0,2520.0,0.0,694.04,1825.96,694.04,694.04,694.04,694.04,2017,92910,,1,,01
1 01.160.01.931.00 2017,4366.0,GIZ.SEGURANTZA.ADMINISTRAZIO EKONOMIKOA,69800.0,69800.0,0.0,72651.57,-2851.57,72651.57,72651.57,72651.57,72651.57,2017,93100,,1,,01
1 01.160.01.932.00 2017,4367.0,GIZ.SEGURANTZA.BILKETA,39172.0,39172.0,0.0,36656.03,2515.97,36656.03,36656.03,36656.03,36656.03,2017,93200,,1,,01
