Partida,Código ,Descripción,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago,Año,Funcional,Dirección,Capítulo,Sección,Orgánica
1 01.160.04.920.30 2021,4398.0,Elkarkidetza,990.0,990.0,0.0,126.78,863.22,126.78,126.78,126.78,126.78,2021,92030,,1,,01
1 01.160.04.924.00 2021,6382.0,Seguridad Social. Partehartzea,770.0,770.0,0.0,0.0,770.0,0.0,0.0,0.0,0.0,2021,92400,,1,,01
1 01.160.04.929.10 2021,4399.0,Elkarkidetza,220.0,220.0,0.0,27.05,192.95,27.05,27.05,27.05,27.05,2021,92910,,1,,01
1 01.160.04.931.00 2021,4400.0,Elkarkidetza,2640.0,2640.0,0.0,465.27,2174.73,465.27,465.27,465.27,465.27,2021,93100,,1,,01
1 01.160.04.932.00 2021,4401.0,Elkarkidetza,5940.0,5940.0,0.0,169.86,5770.14,169.86,169.86,169.86,169.86,2021,93200,,1,,01
1 01.160.04.933.00 2021,4402.0,Elkarkidetza,2640.0,2640.0,0.0,338.49,2301.51,338.49,338.49,338.49,338.49,2021,93300,,1,,01
1 02.160.06.920.10 2021,5160.0,Asistencia medica,5500.0,5500.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,2021,92010,,1,,02
1 02.161.03.920.10 2021,5161.0,Indemnizaciones prejubilación,208000.0,208000.0,0.0,0.0,208000.0,0.0,0.0,0.0,0.0,2021,92010,,1,,02
1 02.162.01.335.30 2021,4413.0,Euskaldunizacion trabajadores,7000.0,7000.0,0.0,411.0,6589.0,411.0,0.0,0.0,0.0,2021,33530,,1,,02
1 02.162.01.920.10 2021,4414.0,Formacion,13000.0,13000.0,0.0,2524.0,10476.0,2524.0,645.0,645.0,645.0,2021,92010,,1,,02
1 02.162.05.920.10 2021,4416.0,Seguro vida,65000.0,65000.0,0.0,0.0,65000.0,0.0,0.0,0.0,0.0,2021,92010,,1,,02
1 02.210.01.414.00 2021,6383.0,Ingurunea,40000.0,40000.0,0.0,24512.38,15487.62,24512.38,9828.5,9828.5,0.0,2021,41400,,2,,02
1 02.210.01.414.00 2020,6723.0,Ingurunea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,41400,,2,,02
1 02.211.01.342.00 2021,4417.0,Mantenimiento,45000.0,45000.0,0.0,4487.19,40512.81,4487.19,1985.33,1985.33,902.28,2021,34200,,2,,02
1 02.211.01.342.00 2020,6662.0,MANTENU OROKORRA.KIROLDEGIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,34200,,2,,02
1 02.211.01.342.01 2021,4418.0,Mntenimiento,12000.0,12000.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,2021,34201,,2,,02
1 02.211.01.342.02 2021,4419.0,Mantenimiento zubipe,6000.0,6000.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,2021,34202,,2,,02
1 02.211.01.342.03 2021,4420.0,Mantenimiento Landare,6000.0,6000.0,0.0,1306.8,4693.2,1306.8,0.0,0.0,0.0,2021,34203,,2,,02
1 02.211.01.342.03 2020,6663.0,MANTENU OROKORRA.LANDARE ZELAIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,34203,,2,,02
1 02.211.01.342.09 2021,4421.0,Otras instalaciones deporte,2000.0,2000.0,0.0,33.88,1966.12,33.88,33.88,33.88,33.88,2021,34209,,2,,02
1 02.211.02.342.00 2021,5612.0,Mantenimiento ascensor-polideportivo,15000.0,15000.0,0.0,3630.0,11370.0,3630.0,3630.0,3630.0,3630.0,2021,34200,,2,,02
