Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr.,Onart. Oblig.
1 01.120.01.165.00 2017 (4253),4253,FUNTZIONARIOAK.SOLDATA.OINARRIA.KALEKO A,2017,21574.0,28886.51
1 01.120.01.171.00 2017 (4255),4255,FUNTZIONARIOAK.SOLDATA.OINARRIA.PARKEAK,2017,14581.0,305.38
1 01.120.01.172.20 2017 (4254),4254,FUNTZIONARIOAK.SOLDATA.OINARRIA.INGURUGI,2017,38189.0,38568.53
1 01.120.01.231.00 2017 (4257),4257,FUNTZIONARIOAK.SOLDATA.OINARRIA.BERDINTA,2017,44756.0,40843.95
1 01.120.01.231.01 2017 (4256),4256,FUNTZIONARIOAK.SOLDATA.OINARRIA.LANKIDET,2017,918.0,769.63
1 01.120.01.231.03 2017 (4867),4867,FUNTZIONARIOA.SOLDATA.OINARRIA. GAZTERIA,2017,14927.0,9616.6
1 01.120.01.241.00 2017 (4258),4258,FUNTZIONARIOA.SOLDATA.OINARRIA. TOKI GAR,2017,50619.0,55863.03
1 01.120.01.241.02 2017 (5564),5564,FUNTZIONARIOA.SOLDATA.OINARRIA. LANBIDE,2017,0.0,11830.28
1 01.120.01.323.10 2017 (4259),4259,FUNTZIONARIOA.SOLDATA.OINARRIA.IKASTETXE,2017,31109.0,38768.64
1 01.120.01.326.01 2017 (4261),4261,FUNTZIONARIOA.SOLDATA.OINARRIA.MUSIKA ES,2017,222600.0,224491.53
1 01.120.01.330.00 2017 (4262),4262,FUNTZIONARIOA.SOLDATA.OINARRIA.KULTURA Z,2017,29452.0,29744.51
1 01.120.01.332.10 2017 (4263),4263,FUNTZIONARIOA.SOLDATA.OINARRIA.LIBURUTEG,2017,74886.0,83216.66
1 01.120.01.333.00 2017 (4264),4264,FUNTZIONARIOA.SOLDATA.OINARRIA.KULTUR ET,2017,19817.0,22376.34
1 01.120.01.335.00 2017 (4265),4265,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA Z,2017,64736.0,59849.8
