Partida,Barruko ,Deskribapena,B. betiko aurrek.,Has.ko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.121.99.924.00 2019,5881.0,SOLDATA OSAGARRIA. PARTEHARTZEA,19127.0,19127.0,0.0,19207.02,-80.02,19207.02,19207.02,19207.02,19207.02,2019,92400,,1,,01
1 01.121.99.929.10 2019,4315.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BAKE EPA,3833.0,3833.0,0.0,6967.1,-3134.1,6967.1,6967.1,6967.1,6967.1,2019,92910,,1,,01
1 01.121.99.931.00 2019,4316.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,163689.0,163689.0,0.0,179468.23,-15779.23,179468.23,179468.23,179468.23,179468.23,2019,93100,,1,,01
1 01.121.99.932.00 2019,4317.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BILKETA,89823.0,89823.0,0.0,92394.71,-2571.71,92394.71,92394.71,92394.71,92394.71,2019,93200,,1,,01
1 01.121.99.933.00 2019,4318.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ONDAREA-,68937.0,68937.0,0.0,75051.21,-6114.21,75051.21,75051.21,75051.21,75051.21,2019,93300,,1,,01
1 01.131.01.241.00 2019,6079.0,ALDIBATERAKO SOLDATA.TOKI GARAPENA,35000.0,0.0,0.0,34671.25,328.75,34671.25,34671.25,34671.25,34671.25,2019,24100,,1,,01
1 01.131.01.241.01 2019,4321.0,ALDIBATERAKO.SOLDATA.IKASTAROAK.,1018.0,1018.0,0.0,0.0,1018.0,0.0,0.0,0.0,0.0,2019,24101,,1,,01
1 01.131.01.241.02 2019,4322.0,ALDIBATERAKO.SOLDATA.LANBIDE PROGRAMAK,59252.0,48798.0,0.0,57926.12,1325.88,57926.12,57926.12,57926.12,57926.12,2019,24102,,1,,01
1 01.131.01.324.10 2019,4325.0,ALDIBATERAKO.SOLDATA.HLP PROGRAMAK,117256.0,117256.0,0.0,109972.92,7283.08,109972.92,109972.92,109972.92,109972.92,2019,32410,,1,,01
1 01.131.01.330.00 2019,6082.0,ALDIBATERAKO.SOLDATA.KULTURA ZERBITZUAK,0.0,0.0,0.0,1989.76,-1989.76,1989.76,1989.76,1989.76,1989.76,2019,33000,,1,,01
