Partida,Código ,Descripción,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago,Año,Funcional,Dirección,Capítulo,Sección,Orgánica
1 02.221.14.342.00 2018,5922.0,Material,0.0,4230.66,0.0,4230.66,0.0,4230.66,4230.66,4230.66,4230.66,2018,34200,,2,,02
1 02.221.98.334.10 2019,4435.0,Material Talleres,1500.0,1500.0,0.0,310.53,1189.47,310.53,310.53,310.53,310.53,2019,33410,,2,,02
1 02.221.99.231.03 2019,4436.0,Gastos material,8000.0,8000.0,0.0,7738.92,261.08,7738.92,7738.92,7738.92,7738.92,2019,23103,,2,,02
1 02.221.99.334.10 2019,4437.0,Material Talleres,2000.0,2000.0,0.0,2854.11,-854.11,2854.11,2854.11,2854.11,2854.11,2019,33410,,2,,02
1 02.222.01.920.00 2019,4438.0,Telefonia,50000.0,50000.0,0.0,34850.71,15149.29,34850.71,34850.71,34850.71,34850.71,2019,92000,,2,,02
1 02.222.02.920.00 2019,4439.0,Servicio postal,60000.0,60000.0,0.0,58998.26,1001.74,58998.26,58998.26,58998.26,58998.26,2019,92000,,2,,02
1 02.222.05.920.20 2019,4440.0,Comunicaciones,151000.0,151000.0,0.0,165258.91,-14258.91,165258.91,165258.91,165258.91,165258.91,2019,92020,,2,,02
1 02.224.01.933.00 2019,4441.0,Seguro edificios,50000.0,50000.0,0.0,43115.23,6884.77,43115.23,43115.23,43115.23,43115.23,2019,93300,,2,,02
1 02.224.02.933.00 2019,4442.0,Seguro vehiculos,10000.0,10000.0,0.0,7239.21,2760.79,7239.21,7239.21,7239.21,7239.21,2019,93300,,2,,02
1 02.224.99.933.00 2019,4443.0,Seguro responsabilidad civil,40000.0,40000.0,0.0,41917.46,-1917.46,41917.46,41917.46,41917.46,41917.46,2019,93300,,2,,02
1 02.226.03.323.00 2019,4445.0,Publicidad,2700.0,2700.0,0.0,2577.93,122.07,2577.93,2577.93,2577.93,2577.93,2019,32300,,2,,02
1 02.226.03.326.01 2019,4446.0,Publicidad,800.0,800.0,0.0,790.25,9.75,790.25,790.25,790.25,790.25,2019,32601,,2,,02
1 02.226.03.334.00 2019,4447.0,Publicidad,20000.0,20000.0,0.0,22367.91,-2367.91,22367.91,22367.91,22367.91,22367.91,2019,33400,,2,,02
1 02.226.03.335.10 2019,4448.0,Publicidad,4500.0,4500.0,0.0,3473.74,1026.26,3473.74,3473.74,3473.74,3473.74,2019,33510,,2,,02
1 02.226.03.342.00 2019,5884.0,Publicidad Polideportivo,2000.0,2000.0,0.0,1736.35,263.65,1736.35,1736.35,1736.35,1736.35,2019,34200,,2,,02
1 02.226.03.920.00 2019,5174.0,Servicio comunicacion,28000.0,28000.0,0.0,10379.99,17620.01,10379.99,10379.99,10379.99,10379.99,2019,92000,,2,,02
1 02.226.03.920.30 2019,4450.0,Publicaciones,6000.0,6000.0,0.0,6000.0,0.0,2998.0,2998.0,2998.0,2998.0,2019,92030,,2,,02
1 02.226.03.920.30 2018,5923.0,Publicaciones,0.0,8000.0,0.0,8000.0,0.0,8000.0,8000.0,8000.0,8000.0,2018,92030,,2,,02
