Partida,Código interno,Descripción,Año,Ppto. Inicial (duplicado de Definitivo),Ppto. Definitivo,Derechos reconocidos Netos,Recaudación Líquida,Pendiente de Cobro,Devoluciones
2 310.27.342.00 2020,930.0,Sala squash,,100.0,100.0,25.0,25.0,0.0,0.0
2 310.28.342.00 2020,931.0,Kiroldegia-otros cursos,,182258.0,182258.0,70061.49,70061.49,0.0,10512.77
2 310.29.342.00 2020,932.0,Kiroldegia-Pista,,5000.0,5000.0,379.6,379.6,0.0,0.0
2 310.30.342.00 2020,933.0,Kiroldegia-Fronton,,1000.0,1000.0,11.5,11.5,0.0,0.0
2 310.32.342.00 2020,935.0,Kiroldegia-Sauna,,5000.0,5000.0,986.7,986.7,0.0,0.0
2 310.35.342.01 2020,937.0,Piscina exterior-abonados,,110019.0,110019.0,24422.73,24422.73,0.0,465.75
2 310.36.342.01 2020,938.0,Piscina exterior-entradas,,130481.0,130481.0,23553.17,23553.17,0.0,40.95
2 310.37.342.00 2020,939.0,Kiroldegia-karnet,,100.0,100.0,408.7,408.7,0.0,0.0
2 311.01.000.00 2020,23.0,Licencia apertura,,20160.0,20160.0,4763.51,4098.61,664.9,0.0
2 311.02.000.00 2020,24.0,Autotaxi,,100.0,100.0,4195.75,41.55,4154.2,0.0
2 312.01.000.00 2020,25.0,Licencias urbanisticas,,65266.0,65266.0,90854.69,71236.99,19617.7,3578.74
2 312.02.000.00 2020,26.0,Espediente Urbanismo,,100.0,100.0,0.0,0.0,0.0,0.0
2 312.03.000.00 2020,489.0,Actualizacion cartografia,,5000.0,5000.0,4721.2,4361.0,360.2,0.0
2 321.03.000.00 2020,28.0,Ocupacion:andamios.,,18112.0,18112.0,47082.15,38972.62,8109.53,0.0
2 321.04.000.00 2020,29.0,Ocupación: mesas,,24708.0,24708.0,0.0,0.0,0.0,0.0
2 321.05.000.00 2020,30.0,Ocupacion: puestos,,12568.0,12568.0,3218.28,2642.88,575.4,1633.3
2 321.09.000.00 2020,31.0,Ocupacion: empresas suministro,,643538.0,643538.0,816833.21,791700.22,25132.99,0.0
2 321.10.000.00 2020,11.0,Ocupacion: feria,,37500.0,37500.0,29374.84,22097.11,7277.73,0.0
2 321.11.000.00 2020,540.0,Tarjetas control entrada,,1000.0,1000.0,460.0,460.0,0.0,0.0
2 321.13.000.00 2020,834.0,Ocupacion: cajeros,,2500.0,2500.0,2534.0,2217.25,316.75,0.0
2 321.99.000.00 2020,32.0,Otras tasas actividad,,15000.0,15000.0,8736.0,0.0,8736.0,0.0
2 322.01.000.00 2020,33.0,Entrada vehiculos,,33062.0,33062.0,35369.35,34198.6,1170.75,0.0
2 340.02.334.00 2020,940.0,Entradas espectaculos,,20365.0,20365.0,10053.5,10053.5,0.0,0.0
2 340.03.323.30 2020,941.0,Comedor-Haur Eskola,,47687.0,47687.0,21877.28,21877.28,0.0,355.05
2 340.04.231.00 2020,942.0,Berdintasuna-Cursos,,1775.0,1775.0,1779.5,1779.5,0.0,0.0
2 380.01.000.00 2020,36.0,Ejercicios cerrados,,5000.0,5000.0,1742.53,1742.53,0.0,0.0
